CASEID_1979,CPUBID1,CPUBID2,CPUBID3,CPUBID4,CPUBID5,CPUBID6
1195,41715,49743,NA,NA,NA,NA
1199,84076,49583,NA,NA,NA,NA
1200,24054,73341,NA,NA,NA,NA
1202,13742,57508,NA,NA,NA,NA
1203,11111,43380,NA,NA,NA,NA
1207,11427,46016,NA,NA,NA,NA
1209,11085,41278,96909,NA,NA,NA
1210,97678,97704,24203,19298,39185,89374
1212,71069,92413,NA,NA,NA,NA
1213,54126,28070,NA,NA,NA,NA
1214,58084,27748,16095,84651,NA,NA
1216,36196,73286,98950,94968,NA,NA
1220,35701,34421,11879,NA,NA,NA
1221,13259,12576,46938,NA,NA,NA
1223,34979,73922,NA,NA,NA,NA
1224,78966,59274,22766,NA,NA,NA
1225,62630,85104,NA,NA,NA,NA
1226,61481,83597,NA,NA,NA,NA
1227,46341,78740,80690,77973,NA,NA
1228,46512,14965,69853,NA,NA,NA
1230,85235,39881,NA,NA,NA,NA
1231,87198,41160,NA,NA,NA,NA
1233,85828,40414,NA,NA,NA,NA
1234,68895,70271,NA,NA,NA,NA
1236,98417,53038,93914,NA,NA,NA
1238,86522,47135,36866,48010,34567,NA
1241,23659,12424,61543,89855,NA,NA
1242,83917,NA,NA,NA,NA,NA
1244,96019,77457,96917,NA,NA,NA
1246,33429,67849,NA,NA,NA,NA
1250,32341,41432,46560,NA,NA,NA
1251,99314,NA,NA,NA,NA,NA
1253,47097,NA,NA,NA,NA,NA
1254,23375,41091,32594,59302,NA,NA
1255,87788,NA,NA,NA,NA,NA
1258,83866,71348,80464,60142,NA,NA
1259,79789,NA,NA,NA,NA,NA
1261,54098,NA,NA,NA,NA,NA
1263,18364,NA,NA,NA,NA,NA
1269,38407,17471,60880,NA,NA,NA
1270,20779,35080,NA,NA,NA,NA
1271,41260,NA,NA,NA,NA,NA
1277,24130,NA,NA,NA,NA,NA
1279,69142,36666,20018,NA,NA,NA
1286,88196,26180,NA,NA,NA,NA
1290,16162,69927,NA,NA,NA,NA
1293,43882,50936,59744,NA,NA,NA
1295,10230,15282,52882,44859,NA,NA
1296,86327,33007,NA,NA,NA,NA
1297,47836,14632,17335,NA,NA,NA
1298,77178,89344,NA,NA,NA,NA
1302,73511,NA,NA,NA,NA,NA
1304,54873,93675,61748,NA,NA,NA
1305,96397,84920,NA,NA,NA,NA
