CPUBID,CSEX,CMOB,CYRB
94862,1,8,1989
43269,1,9,1993
36850,1,4,2005
62025,1,4,1973
76443,2,9,1976
51491,1,11,1978
58009,2,8,1984
15561,2,12,1985
85618,2,9,1996
53829,1,2,1991
57788,1,5,1994
63778,1,6,1988
27998,1,11,1985
13566,1,5,1977
98027,2,9,1980
16511,2,12,1992
22477,1,3,1999
75649,1,3,1999
16335,1,12,2002
82687,1,1,1980
60185,2,1,1984
46959,2,7,1991
77065,2,6,1973
61484,2,11,1976
94062,1,7,1978
64026,2,1,1980
31697,2,6,1978
33524,1,11,1983
59411,1,11,1984
28365,1,2,1988
68650,2,8,1991
89965,1,7,1982
64810,1,3,1985
10579,1,12,1975
15002,1,8,1981
71063,2,9,1982
83633,1,4,1979
68982,1,1,1984
37362,2,5,1985
63669,1,2,1992
78854,1,10,1982
36831,2,7,1976
11507,1,7,1977
36376,1,4,1990
86476,1,8,1980
50486,1,5,1987
55800,1,10,1990
37459,1,9,1993
24450,1,12,1991
63993,2,1,1994
20429,2,6,1984
20157,1,10,1987
54457,2,2,2001
14912,1,12,1997
74206,2,8,2000
88172,2,3,2003
83398,1,10,2007
75440,2,10,2009
68843,1,10,1987
57292,1,9,1989
64278,1,3,1991
34343,2,7,1993
93776,2,2,1998
98835,2,7,2003
11620,2,11,1980
61588,2,8,1982
79689,1,2,1990
84769,1,2,1993
30004,2,9,1994
97388,2,1,1997
43662,2,8,1985
22599,2,6,1988
39432,2,3,1993
85458,2,2,1991
45676,1,3,1987
34141,2,5,1991
99646,1,4,1995
31945,1,1,1976
42056,1,1,1985
89966,1,10,1984
89724,2,6,1986
77135,1,4,1988
20871,2,5,1998
58978,1,6,1990
57089,2,3,1993
96316,1,12,2000
96238,1,7,1985
48727,1,1,1982
48310,1,8,1990
65398,1,9,1977
95915,1,8,1978
95041,1,6,1982
46794,1,12,1986
88239,1,5,1990
79758,1,3,1982
55122,2,1,1983
78166,1,2,1986
12231,2,3,1981
48456,2,7,1989
97330,2,10,1992
33928,2,3,1987
77227,1,1,1985
96850,2,11,1988
98133,2,4,1985
75719,1,2,1987
14028,1,9,1994
16264,1,9,1990
71982,2,9,1998
10376,1,10,1994
76121,1,1,1997
88927,2,11,1984
64251,2,11,1985
38202,2,12,1994
48767,1,5,1997
30933,2,9,1981
49387,2,11,1986
75897,1,3,1991
66008,1,6,1981
87080,2,12,1979
37867,1,12,1995
33902,2,9,1985
33450,2,10,1987
74933,1,2,1989
97373,1,9,2006
69095,2,9,1984
39520,2,4,1988
84092,2,12,1993
51306,2,7,1995
76900,1,12,1998
64455,2,8,2001
58092,1,11,1975
75437,1,12,1978
25209,1,10,1987
94749,2,3,1980
24026,1,7,1986
69874,2,10,1981
74016,1,2,1989
86081,1,2,1979
73839,1,10,1981
74125,1,11,1982
53626,2,1,1984
52636,2,12,1989
14987,2,9,1988
77720,1,5,1990
48611,1,3,1981
88441,1,12,1985
57604,1,5,1987
26297,1,9,1990
61083,2,10,1992
73849,2,8,1983
36513,1,9,1984
89789,1,1,1987
50525,1,8,1988
51650,1,8,1992
74197,1,4,1985
70891,1,8,1988
94370,1,8,1983
74621,1,3,1988
60351,2,5,1995
42077,2,9,1985
48706,2,12,1987
17447,1,3,1999
18025,1,8,1987
97512,2,3,1991
99844,2,3,1993
23959,2,5,1975
26177,1,4,1977
20858,2,1,1983
41715,1,10,1996
49743,2,7,1999
84076,2,6,1977
49583,1,7,1988
24054,1,5,1988
73341,1,5,1991
13742,1,3,1982
57508,1,10,1985
11111,1,5,1987
43380,1,12,1989
11427,2,5,1979
46016,2,12,1984
11085,1,3,1976
41278,2,10,1984
96909,2,7,1987
97678,2,3,1975
97704,2,1,1977
24203,1,1,1986
19298,2,7,1988
39185,1,8,1989
89374,1,8,1989
71069,2,4,1974
92413,1,3,1993
54126,1,8,1981
28070,1,11,1983
58084,2,4,1982
27748,1,9,1985
16095,2,1,1994
84651,1,5,1996
36196,1,7,1977
73286,2,1,1980
98950,2,10,1981
94968,2,4,1988
35701,2,10,1984
34421,1,2,1988
11879,1,2,1996
13259,2,8,1975
12576,1,6,1981
46938,1,1,1989
34979,2,11,1991
73922,1,11,1993
78966,2,8,1976
59274,1,5,1980
22766,2,8,1987
62630,1,9,1973
85104,1,4,1982
61481,1,12,1973
83597,2,7,1982
46341,1,9,1975
78740,2,6,1977
80690,1,11,1982
77973,1,10,1986
46512,2,3,1982
14965,1,9,1983
69853,2,11,1993
85235,1,3,1979
39881,1,3,1983
87198,2,3,1997
41160,2,4,1999
85828,1,4,1980
40414,1,7,1985
68895,1,10,1990
70271,1,9,2001
98417,1,12,1992
53038,2,12,1994
93914,1,1,2001
86522,1,4,1978
47135,2,5,1980
36866,2,9,1981
